제공기관명,축제명,개최장소,소재지도로명주소
전북_진안군,2020 진안 원연장 꽃잔디축제,꽃잔디동산 및 원영장마을,전라북도 진안군 진안읍 연장리 산 23-1
전북_진안군,제12회 진안고원 수박축제,홈페이지,전라북도 진안군 동향면 진성로 1687
전북_정읍시,제54회 황토현동학농민혁명기념제,구민사 및 갑오동학혁명기념탑,전라북도 정읍시 덕천면 동학로 742
전북_정읍시,제32회 정읍사문화제,정읍사문화공원 일원,전라북도 정읍시 정읍사로 541
전북_정읍시,제15회 정읍 구절초꽃축제,정읍 구절초 테마공원,전라북도 정읍시 산내면 청정로 926-65
전북_전주시,전주대사습놀이,국립무형유산원 및 전주한옥마을 일원,전라북도 전주시 덕진구 권삼득로 400
전북_전주시,제22회 전주국제영화제,고사동영화의거리 일대,전라북도 전주시 완산구 전주객사4길 74-12
전북_장수군,장수 한우랑 사과랑 축제,전라북도 장수군 의암공원 및 누리파크 일원,전라북도 장수군 장수읍 한누리로 393
전북_임실군,아쿠아페스티벌,임실치즈테마파크,전라북도 임실군 성수면 도인2길 50
전북_임실군,필봉마을굿축제,필봉문화촌,전라북도 임실군 강진면 강운로 272
전북_임실군,사선문화제,관촌사선대,전라북도 임실군 관촌면 사선2길 68-7
전북_임실군,임실N치즈축제,"임실치즈테마파크, 임실치즈마을",전라북도 임실군 성수면 도인2길 50
전북_임실군,산타축제,임실치즈테마파크,전라북도 임실군 성수면 도인2길 50
전북_임실군,의견문화제,오수의견공원,전라북도 임실군 오수면 충효로 2096-16
전북_완주군,완주와일드&로컬푸드축제,"고산자연휴양림, 완주군일원",전라북도 완주군 고산면 고산휴양림로 89
전북_완주군,완주 프러포즈축제,대한민국술테마박물관 및 구이면일원,전라북도 완주군 구이면 덕천전원길 232-58
전북_순창군,순창장류축제,순창전통고추장민속마을 일원,전라북도 순창군 순창읍 민속마을길 6-3
전북_부안군,부안마실축제,부안읍 일원(주행사장: 매창공원),전라북도 부안군 부안읍 매창로 89
전북_무주군,제24회무주반딧불축제,무주군 일원,전라북도 무주군 무주읍 최북로 15
전북_남원시,지리산 바래봉 눈꽃축제,지리산허브밸리 일원,전라북도 남원시 운봉읍 바래봉길 214
전북_남원시,제31회 지리산 뱀사골 고로쇠 약수제,지리산뱀사골 반선관광주차장,전라북도 남원시 산내면 지리산로 842-8
전북_남원시,제89회 춘향제,광한루원 일원,전라북도 남원시 요천로 1447
전북_남원시,제25회 지리산 바래봉 철쭉제,지리산허브밸리 일원,전라북도 남원시 운봉읍 바래봉길 214
전북_남원시,제24회 봉화산 철쭉제,남원시 아영면 봉화산 주차장,전라북도 남원시 아영면 성리 산56-6
전북_남원시,흥부제,사랑의광장 일원,전라북도 남원시 양림길 12
전북_남원시,지리산 뱀사골 단풍제,지리산 북부 사무소 앞,전라북도 남원시 산내면 와운길 10
전북_군산시,2021 군산시간여행축제,구시청광장 및 시간여행마을 일원,전라북도 군산시 중앙로 178
전북_고창군,고창모양성제,모양성 일원,전라북도 고창군 고창읍 중앙로 292
전북_고창군,고창청보리밭축제(취소),고창군 공음면 학원농장 일원,전라북도 고창군 공음면 학원농장길 158-6
전북_고창군,동학농민혁명 무장기포기념제,동학농민혁명 무장기포지,전라북도 고창군 공음면 선운대로 308
전북_고창군,고창복분자와수박축제(취소),선운산도립공원,전라북도 고창군 아산면 선운사로 250
전북_고창군,고창갯벌축제(취소),"만돌갯벌체험장, 하전갯벌체험장",전라북도 고창군 심원면 애향갯벌로 320
전북_고창군,무장읍성축제(취소),무장읍성 일원,전라북도 고창군 무장면 무장읍성길 45
전북_고창군,고창해풍고추축제(보류),해리복지회관일원,전라북도 고창군 해리면 청해1길 15
전남_화순군,화순고인돌문화축제,고인돌유적지 일원 (도곡면 효산리),전라남도 화순군 도곡면 효산리 64
전남_화순군,화순 국화향연,화순읍 남산공원,전라남도 화순군 화순읍 진각로 85
